0.3210,0.3605,0.3878,0.4099,0.4312,0.4501
0.3244,0.3647,0.3923,0.4146,0.4362,0.4551
0.3284,0.3691,0.3971,0.4195,0.4414,0.4602
0.3321,0.3736,0.4019,0.4244,0.4465,0.4654
0.3364,0.3783,0.4068,0.4295,0.4518,0.4711
0.3404,0.3831,0.4119,0.4352,0.4575,0.4771
0.3448,0.3882,0.4174,0.4407,0.4635,0.4830
0.3495,0.3932,0.4228,0.4461,0.4692,0.4888
0.3537,0.3982,0.4283,0.4516,0.4748,0.4946
0.3583,0.4034,0.4336,0.4573,0.4808,0.5005
0.3633,0.4089,0.4396,0.4634,0.4868,0.5067
0.3681,0.4144,0.4453,0.4693,0.4929,0.5128
0.3733,0.4202,0.4513,0.4756,0.4991,0.5190
0.3786,0.4260,0.4571,0.4819,0.5055,0.5251
0.3839,0.4321,0.4633,0.4880,0.5115,0.5310
0.3895,0.4383,0.4700,0.4948,0.5179,0.5371
0.3953,0.4447,0.4768,0.5016,0.5245,0.5436
0.4012,0.4512,0.4831,0.5079,0.5307,0.5498
0.4074,0.4578,0.4896,0.5144,0.5370,0.5558
0.4132,0.4641,0.4958,0.5205,0.5428,0.5613
0.4194,0.4707,0.5025,0.5269,0.5490,0.5671
0.4256,0.4771,0.5089,0.5332,0.5550,0.5728
0.4322,0.4837,0.5153,0.5393,0.5608,0.5783
0.4391,0.4910,0.5224,0.5458,0.5666,0.5838
0.4455,0.4974,0.5288,0.5518,0.5720,0.5885
0.4524,0.5040,0.5349,0.5572,0.5768,0.5929
0.4589,0.5101,0.5402,0.5621,0.5810,0.5963
0.4650,0.5158,0.5452,0.5665,0.5845,0.5993
0.4712,0.5211,0.5497,0.5704,0.5872,0.6014
0.4764,0.5259,0.5534,0.5731,0.5891,0.6026
0.4818,0.5296,0.5561,0.5746,0.5898,0.6024
0.4861,0.5324,0.5573,0.5746,0.5889,0.6005
0.4896,0.5339,0.5569,0.5729,0.5860,0.5966
0.4914,0.5328,0.5540,0.5683,0.5798,0.5891
0.4900,0.5283,0.5472,0.5597,0.5698,0.5778
0.4846,0.5185,0.5346,0.5451,0.5533,0.5597
0.4721,0.5004,0.5134,0.5213,0.5274,0.5321
0.4473,0.4686,0.4775,0.4828,0.4866,0.4894
0.3977,0.4105,0.4151,0.4176,0.4192,0.4203
0.2866,0.2902,0.2910,0.2913,0.2915,0.2917
