CoeffBinThresh	PixelThresh	Precision	Recall	F1	Time	StdTime
0.935	4	0.7483	0.3672	0.4920	0.191345	0.000386
0.935	6	0.8328	0.4086	0.5475	0.191345	0.000386
0.935	8	0.8657	0.4247	0.5692	0.191345	0.000386
0.935	9	0.8776	0.4306	0.5770	0.191345	0.000386
0.940	4	0.7633	0.3605	0.4891	0.186117	0.000380
0.940	6	0.8455	0.3993	0.5417	0.186117	0.000380
0.940	8	0.8766	0.4140	0.5616	0.186117	0.000380
0.940	9	0.8878	0.4192	0.5688	0.186117	0.000380
0.945	4	0.7805	0.3526	0.4851	0.180118	0.000371
0.945	6	0.8597	0.3884	0.5343	0.180118	0.000371
0.945	8	0.8887	0.4015	0.5523	0.180118	0.000371
0.945	9	0.8988	0.4060	0.5586	0.180118	0.000371
0.950	4	0.7987	0.3435	0.4797	0.174502	0.000375
0.950	6	0.8742	0.3759	0.5250	0.174502	0.000375
0.950	8	0.9008	0.3874	0.5410	0.174502	0.000375
0.950	9	0.9101	0.3914	0.5466	0.174502	0.000375
0.955	4	0.8187	0.3328	0.4725	0.167924	0.000367
0.955	6	0.8891	0.3614	0.5131	0.167924	0.000367
0.955	8	0.9132	0.3712	0.5270	0.167924	0.000367
0.955	9	0.9216	0.3746	0.5319	0.167924	0.000367
0.960	4	0.8393	0.3200	0.4625	0.160989	0.000368
0.960	6	0.9048	0.3449	0.4986	0.160989	0.000368
0.960	8	0.9260	0.3530	0.5103	0.160989	0.000368
0.960	9	0.9332	0.3558	0.5143	0.160989	0.000368
0.965	4	0.8618	0.3048	0.4494	0.153620	0.000372
0.965	6	0.9213	0.3258	0.4805	0.153620	0.000372
0.965	8	0.9394	0.3322	0.4899	0.153620	0.000372
0.965	9	0.9453	0.3343	0.4930	0.153620	0.000372
0.970	4	0.8853	0.2862	0.4317	0.145392	0.000377
0.970	6	0.9376	0.3031	0.4571	0.145392	0.000377
0.970	8	0.9521	0.3078	0.4643	0.145392	0.000377
0.970	9	0.9568	0.3094	0.4665	0.145392	0.000377
0.975	4	0.9107	0.2637	0.4080	0.136138	0.000363
0.975	6	0.9541	0.2763	0.4275	0.136138	0.000363
0.975	8	0.9649	0.2794	0.4323	0.136138	0.000363
0.975	9	0.9682	0.2804	0.4338	0.136138	0.000363
0.980	4	0.9371	0.2353	0.3751	0.125727	0.000368
0.980	6	0.9704	0.2437	0.3885	0.125727	0.000368
0.980	8	0.9771	0.2454	0.3912	0.125727	0.000368
0.980	9	0.9792	0.2459	0.3920	0.125727	0.000368
0.985	4	0.9616	0.1983	0.3277	0.113636	0.000357
0.985	6	0.9837	0.2029	0.3353	0.113636	0.000357
0.985	8	0.9871	0.2036	0.3365	0.113636	0.000357
0.985	9	0.9882	0.2038	0.3369	0.113636	0.000357
0.990	4	0.9827	0.1450	0.2517	0.098252	0.000367
0.990	6	0.9938	0.1467	0.2546	0.098252	0.000367
0.990	8	0.9950	0.1469	0.2549	0.098252	0.000367
0.990	9	0.9953	0.1469	0.2550	0.098252	0.000367
0.995	4	0.9946	0.0615	0.1149	0.074598	0.000345
0.995	6	0.9985	0.0618	0.1154	0.074598	0.000345
0.995	8	0.9987	0.0618	0.1154	0.074598	0.000345
0.995	9	0.9988	0.0618	0.1154	0.074598	0.000345
