CoeffBinThresh	PixelThresh	Precision	Recall	F1	Time	StdTime
0.850	4	0.5766	0.3937	0.4672	0.296228	0.000638
0.850	6	0.6765	0.4618	0.5481	0.296228	0.000638
0.850	8	0.7264	0.4958	0.5885	0.296228	0.000638
0.850	9	0.7453	0.5088	0.6039	0.296228	0.000638
0.855	4	0.5833	0.3945	0.4700	0.294337	0.000639
0.855	6	0.6834	0.4621	0.5506	0.294337	0.000639
0.855	8	0.7325	0.4953	0.5902	0.294337	0.000639
0.855	9	0.7513	0.5080	0.6053	0.294337	0.000639
0.860	4	0.5907	0.3952	0.4730	0.291377	0.000642
0.860	6	0.6901	0.4616	0.5524	0.291377	0.000642
0.860	8	0.7389	0.4943	0.5915	0.291377	0.000642
0.860	9	0.7572	0.5065	0.6062	0.291377	0.000642
0.865	4	0.5982	0.3958	0.4757	0.288064	0.000641
0.865	6	0.6973	0.4612	0.5544	0.288064	0.000641
0.865	8	0.7453	0.4930	0.5927	0.288064	0.000641
0.865	9	0.7636	0.5051	0.6072	0.288064	0.000641
0.870	4	0.6059	0.3961	0.4784	0.287123	0.000640
0.870	6	0.7045	0.4605	0.5562	0.287123	0.000640
0.870	8	0.7519	0.4914	0.5936	0.287123	0.000640
0.870	9	0.7698	0.5032	0.6078	0.287123	0.000640
0.875	4	0.6136	0.3961	0.4808	0.284586	0.000627
0.875	6	0.7119	0.4594	0.5577	0.284586	0.000627
0.875	8	0.7588	0.4897	0.5945	0.284586	0.000627
0.875	9	0.7765	0.5011	0.6084	0.284586	0.000627
0.880	4	0.6220	0.3959	0.4833	0.281813	0.000605
0.880	6	0.7201	0.4583	0.5594	0.281813	0.000605
0.880	8	0.7662	0.4876	0.5952	0.281813	0.000605
0.880	9	0.7836	0.4987	0.6087	0.281813	0.000605
0.885	4	0.6309	0.3955	0.4856	0.268827	0.000720
0.885	6	0.7284	0.4566	0.5606	0.268827	0.000720
0.885	8	0.7735	0.4849	0.5954	0.268827	0.000720
0.885	9	0.7906	0.4956	0.6085	0.268827	0.000720
0.890	4	0.6400	0.3946	0.4877	0.226285	0.000414
0.890	6	0.7369	0.4543	0.5614	0.226285	0.000414
0.890	8	0.7813	0.4817	0.5953	0.226285	0.000414
0.890	9	0.7983	0.4921	0.6082	0.226285	0.000414
0.895	4	0.6500	0.3937	0.4898	0.222498	0.000405
0.895	6	0.7460	0.4518	0.5621	0.222498	0.000405
0.895	8	0.7896	0.4782	0.5949	0.222498	0.000405
0.895	9	0.8059	0.4880	0.6072	0.222498	0.000405
0.900	4	0.6606	0.3924	0.4917	0.220005	0.000406
0.900	6	0.7555	0.4487	0.5623	0.220005	0.000406
0.900	8	0.7980	0.4739	0.5940	0.220005	0.000406
0.900	9	0.8141	0.4835	0.6059	0.220005	0.000406
0.905	4	0.6711	0.3905	0.4931	0.216583	0.000400
0.905	6	0.7654	0.4453	0.5624	0.216583	0.000400
0.905	8	0.8069	0.4695	0.5929	0.216583	0.000400
0.905	9	0.8224	0.4784	0.6042	0.216583	0.000400
0.910	4	0.6823	0.3882	0.4943	0.212909	0.000400
0.910	6	0.7753	0.4411	0.5616	0.212909	0.000400
0.910	8	0.8157	0.4640	0.5909	0.212909	0.000400
0.910	9	0.8307	0.4725	0.6017	0.212909	0.000400
0.915	4	0.6939	0.3852	0.4949	0.208780	0.000396
0.915	6	0.7859	0.4363	0.5605	0.208780	0.000396
0.915	8	0.8248	0.4578	0.5882	0.208780	0.000396
0.915	9	0.8394	0.4659	0.5986	0.208780	0.000396
0.920	4	0.7068	0.3820	0.4954	0.204684	0.000391
0.920	6	0.7970	0.4307	0.5586	0.204684	0.000391
0.920	8	0.8344	0.4509	0.5848	0.204684	0.000391
0.920	9	0.8486	0.4585	0.5947	0.204684	0.000391
0.925	4	0.7196	0.3779	0.4950	0.200964	0.000381
0.925	6	0.8083	0.4244	0.5560	0.200964	0.000381
0.925	8	0.8446	0.4435	0.5809	0.200964	0.000381
0.925	9	0.8580	0.4505	0.5901	0.200964	0.000381
0.930	4	0.7337	0.3728	0.4938	0.196508	0.000386
0.930	6	0.8207	0.4170	0.5524	0.196508	0.000386
0.930	8	0.8552	0.4345	0.5756	0.196508	0.000386
0.930	9	0.8680	0.4411	0.5842	0.196508	0.000386
