x,y
506.9021085124237,512.5666100131807
311.8727582053827,726.4472092566517
363.67237120908527,678.3551223747988
480.40935415394205,493.68625392794235
679.142322114652,219.34412514568953
383.80954026436257,461.8078849044513
430.8462800901026,313.096474387469
335.99184043073285,733.6702576522764
291.64809581495035,575.8347314719609
331.33796664863746,283.63619575172436
508.35076886069953,125.10717401155016
382.9246367644173,308.8391467608374
753.5069363855746,264.4432944197592
400.6027864814045,593.9916409897758
191.89028199874306,312.3342345615755
320.92846522231525,469.0351804624707
431.8162664102249,516.2306245224656
379.8550279201425,507.4258193802308
385.3178437331267,307.99100686524395
490.77639289571334,496.69442291506283
458.38451368204477,483.09285393514375
258.2527698660349,338.39732444825705
272.4407956578877,597.2128089668794
313.38826229267676,560.6305187839021
412.24529595150665,260.1098653581822
487.1519076999303,305.5063964673005
498.75913458708663,349.2459504688992
285.91833789370946,167.69450342050584
350.1797407737766,462.825329917678
476.77963410994295,305.3042746848007
402.7721667822483,237.21614624481404
522.9049528845396,29.05379903876951
432.3616174859527,639.1285146150844
434.9041450140826,554.7432607997098
383.73182442776164,608.2422181224284
382.2813957003495,690.0401572995336
458.2064944664366,456.97083092493546
369.15409389356626,305.08930678385474
360.8694643553706,234.13522055021386
260.2039222925639,624.665046741471
395.8769070175721,312.0031151732797
478.209869122381,157.26740958339752
541.5873461800423,31.72329336628506
519.7904118971971,140.45905370519782
343.5326057833917,476.8390061164456
490.5112508384402,651.7403786619574
637.7821189848925,340.32406006741667
369.5976108242869,554.6896245698592
579.1597237657825,341.74482306211416
366.57819769062814,557.8843911143784
470.668886304433,279.8979893166893
484.3595976043293,478.5429881169127
479.3270805401706,352.9205552282839
332.3462501354416,512.9111580840921
355.3213273948222,564.3659697059959
312.72067073987137,276.4426617262322
495.6209454727373,585.6983084713975
329.3695630529922,240.07762171585478
175.70584559340432,634.6481025362052
543.9653730381873,477.4414389412726
330.76188971390724,295.30143646141585
312.9760115102272,610.8792708766453
454.3260161947223,554.815283177007
425.67016875245525,322.12546063354677
457.42851858154745,539.7153399087996
287.97024768401525,592.6719414075772
586.741806547135,346.96771589607243
631.9128717794715,217.60798866015793
346.5219150942218,218.77220848675728
304.95555639232236,475.6728562713431
750.4031228459633,-8.892548614689758
392.28186189456255,235.34351670348883
300.4938760981974,274.29083839581574
276.1304860344219,282.6727403001225
400.4881436330371,299.5922820690884
280.11793260179945,231.38317224831573
245.16949324624312,154.0814960845945
470.644311983301,276.7382243174384
535.5196024585076,414.23405852594675
412.0809474284532,313.3241564524077
67.91268177509639,111.70000480538624
333.92106158310315,556.1161908229021
347.0321523366932,544.1116184133577
499.1516788959738,292.3011940557392
327.36815607361024,243.4520411963249
331.293251046697,467.60872317891426
298.62206491768694,458.2994235457437
408.3238237810818,558.6632000898619
366.1016451734288,191.1199757701797
388.2299445848091,256.93097706061604
394.6868532423154,525.941155690666
438.21817784760543,480.46595973575535
481.22464124066687,528.9191497745586
481.2517284417525,542.4949457317616
331.739003425494,223.96166257449673
336.5794714647844,375.5480105924315
285.65666950048825,251.6976996962427
351.74157844449206,489.2911330200906
475.8273172739774,303.3353371147558
580.277633722593,667.5103555942297
415.16372190485987,501.68173343419056
371.57911917407,438.17578217480013
525.29033105054,288.8517637976112
354.21501572585237,558.3457021027157
380.72840133897654,704.9417545123282
735.3543045682405,663.8378007042785
492.35147070178033,679.4247614153
665.2941209088345,520.2674708139265
343.28706962967203,499.60086056314833
457.6489875436007,148.2315215886956
39.9902650826441,633.6038807650057
364.9594845514531,572.5222008206636
529.3662640350407,576.432150835083
417.2788296585973,498.3689210050171
386.345845560326,577.6369221552249
395.43033840090266,528.6425056420165
435.57970456786086,313.67056467253394
620.531666671578,335.6331518308915
349.5083825363672,495.38441522119837
438.1595577436076,661.4097259608134
460.14801818227033,479.68760122553357
10.141541084526276,477.40163633523184
384.6502967445944,250.52461736242205
380.87776417340274,493.9317527144987
347.20434622252026,328.33159643821995
429.0328446671899,546.6965132699233
674.1679311659582,204.3546157302096
361.32435951115673,511.6590275546596
488.98500658692257,616.9634021829571
402.7837561899626,496.53477968348403
338.6274724232737,252.80706025587963
541.1180087200801,573.4886904941363
257.0005994433892,279.41061575991955
364.64971832948805,241.7362312214704
706.0915766462791,386.26157736083286
406.0273923061782,200.7929530451755
407.56620842703717,674.1385983144253
240.59567530370333,264.1916768839822
450.5359083860081,447.1357602807185
431.1720230853535,281.20010413706905
554.9416380353448,777.8722426105968
97.07051182075827,371.02526671673286
486.59565332686026,268.68034140670636
23.759094115700766,258.3829624445541
501.7121276195075,590.6269015218212
449.9404454579876,557.0217222937612
371.0455325458791,534.5650403745766
561.228550771935,467.9361260200843
107.12930195939967,39.4038582455424
268.459474989868,298.74499548191375
391.244833492006,311.72725979444056
316.0103388546122,578.2393538595672
513.7705389586957,535.6991270022261
394.13280380271004,264.3436531510841
456.20189738264844,472.8999968683568
421.2385432424813,301.2589810340533
337.8732364808609,601.3118655834796
482.26429342957937,619.6783429679501
328.108207810652,315.6724040692643
247.3238832455561,614.6928491780327
341.73259163497585,337.1601134451036
293.3921284589341,241.56868547166516
317.8336679228916,204.4890942205829
370.23773990993277,485.11460339891295
423.51778495762363,302.74722708593384
377.21779071978074,479.08560885845566
336.81769874923214,318.24857473997395
419.9772364593809,507.5473583112562
410.36711871189294,308.5153049933556
137.82798077854358,303.41804246195284
398.1801553391999,527.7441328624793
213.1742303398494,116.8087519736096
