0.3615,0.4334,0.4750,0.5099,0.5283,0.5414
0.3639,0.4368,0.4786,0.5135,0.5320,0.5450
0.3667,0.4403,0.4826,0.5172,0.5355,0.5482
0.3692,0.4438,0.4860,0.5206,0.5387,0.5514
0.3722,0.4469,0.4896,0.5242,0.5420,0.5546
0.3748,0.4507,0.4931,0.5277,0.5456,0.5580
0.3779,0.4542,0.4970,0.5311,0.5489,0.5612
0.3807,0.4575,0.5007,0.5347,0.5522,0.5642
0.3836,0.4610,0.5043,0.5380,0.5553,0.5671
0.3860,0.4645,0.5077,0.5413,0.5584,0.5702
0.3894,0.4681,0.5113,0.5447,0.5615,0.5731
0.3924,0.4714,0.5147,0.5479,0.5644,0.5757
0.3954,0.4756,0.5185,0.5512,0.5673,0.5784
0.3981,0.4792,0.5218,0.5539,0.5696,0.5807
0.4011,0.4826,0.5252,0.5568,0.5722,0.5828
0.4045,0.4864,0.5288,0.5595,0.5745,0.5849
0.4079,0.4903,0.5321,0.5619,0.5764,0.5866
0.4112,0.4936,0.5349,0.5642,0.5783,0.5881
0.4143,0.4968,0.5376,0.5659,0.5795,0.5889
0.4172,0.4999,0.5400,0.5676,0.5807,0.5899
0.4204,0.5029,0.5422,0.5688,0.5814,0.5904
0.4240,0.5058,0.5443,0.5697,0.5819,0.5904
0.4265,0.5080,0.5451,0.5698,0.5814,0.5896
0.4289,0.5098,0.5459,0.5694,0.5801,0.5879
0.4315,0.5115,0.5462,0.5684,0.5785,0.5857
0.4330,0.5120,0.5453,0.5662,0.5758,0.5823
0.4340,0.5116,0.5432,0.5628,0.5714,0.5775
0.4344,0.5100,0.5394,0.5574,0.5652,0.5709
0.4335,0.5064,0.5343,0.5504,0.5575,0.5624
0.4314,0.5013,0.5269,0.5411,0.5473,0.5517
0.4276,0.4941,0.5170,0.5293,0.5347,0.5382
0.4210,0.4831,0.5032,0.5137,0.5182,0.5211
0.4104,0.4667,0.4841,0.4926,0.4961,0.4982
0.3943,0.4437,0.4581,0.4647,0.4672,0.4687
0.3655,0.4071,0.4183,0.4230,0.4248,0.4257
0.3097,0.3426,0.3507,0.3538,0.3547,0.3553
0.2158,0.2389,0.2443,0.2460,0.2466,0.2469
0.1168,0.1314,0.1346,0.1355,0.1357,0.1358
0.0544,0.0622,0.0638,0.0642,0.0643,0.0644
0.0241,0.0275,0.0281,0.0282,0.0282,0.0283
