CoeffBinThresh	PixelThresh	Precision	Recall	F1	Time	StdTime
0.960	4	0.9577	0.3249	0.4841	0.061382	0.000214
0.960	6	0.9812	0.3329	0.4961	0.061382	0.000214
0.960	8	0.9888	0.3355	0.5000	0.061382	0.000214
0.965	2	0.8332	0.2591	0.3943	0.059252	0.000212
0.965	4	0.9677	0.3012	0.4581	0.059252	0.000212
0.965	6	0.9867	0.3072	0.4672	0.059252	0.000212
0.965	8	0.9924	0.3090	0.4699	0.059252	0.000212
0.970	2	0.8541	0.2337	0.3655	0.055832	0.000217
0.970	4	0.9767	0.2676	0.4183	0.055832	0.000217
0.970	6	0.9915	0.2717	0.4248	0.055832	0.000217
0.970	8	0.9954	0.2728	0.4265	0.055832	0.000217
0.975	2	0.8693	0.1905	0.3097	0.053304	0.000207
0.975	4	0.9841	0.2158	0.3507	0.053304	0.000207
0.975	6	0.9950	0.2183	0.3547	0.053304	0.000207
0.975	8	0.9976	0.2189	0.3557	0.053304	0.000207
0.980	2	0.8696	0.1259	0.2158	0.047401	0.000214
0.980	4	0.9882	0.1424	0.2443	0.047401	0.000214
0.980	6	0.9971	0.1438	0.2466	0.047401	0.000214
0.980	8	0.9989	0.1441	0.2471	0.047401	0.000214
0.985	2	0.8550	0.0640	0.1168	0.040859	0.000210
0.985	4	0.9910	0.0738	0.1346	0.040859	0.000210
0.985	6	0.9980	0.0744	0.1357	0.040859	0.000210
0.985	8	0.9993	0.0745	0.1359	0.040859	0.000210
0.990	2	0.8492	0.0285	0.0544	0.036905	0.000192
0.990	4	0.9926	0.0333	0.0638	0.036905	0.000192
0.990	6	0.9989	0.0336	0.0643	0.036905	0.000192
0.990	8	0.9998	0.0337	0.0644	0.036905	0.000192
0.995	2	0.8674	0.0123	0.0241	0.034641	0.000186
0.995	4	0.9950	0.0143	0.0281	0.034641	0.000186
0.995	6	0.9994	0.0144	0.0282	0.034641	0.000186
0.995	8	1.0000	0.0144	0.0283	0.034641	0.000186
